GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01
Id,Id2,Geography,Estimate; Total,Margin of Error; Total
8600000US11722,11722,ZCTA5 11722,37919,1616
8600000US11724,11724,ZCTA5 11724,3013,485
8600000US11725,11725,ZCTA5 11725,28927,752
8600000US11726,11726,ZCTA5 11726,19091,1446
8600000US11727,11727,ZCTA5 11727,28496,1084
8600000US11729,11729,ZCTA5 11729,27948,823
8600000US11730,11730,ZCTA5 11730,13643,497
8600000US11731,11731,ZCTA5 11731,30562,834
8600000US11732,11732,ZCTA5 11732,3188,478
8600000US11733,11733,ZCTA5 11733,18259,905
8600000US11735,11735,ZCTA5 11735,32226,822
8600000US11738,11738,ZCTA5 11738,17956,1134
8600000US11739,11739,ZCTA5 11739,1556,255
8600000US11740,11740,ZCTA5 11740,9262,611
8600000US11741,11741,ZCTA5 11741,27551,804
8600000US11742,11742,ZCTA5 11742,12724,641
8600000US11743,11743,ZCTA5 11743,42639,1370
8600000US11746,11746,ZCTA5 11746,66584,1340
8600000US11747,11747,ZCTA5 11747,19676,837
8600000US11749,11749,ZCTA5 11749,3389,136
8600000US11751,11751,ZCTA5 11751,14393,710
8600000US11752,11752,ZCTA5 11752,9649,607
8600000US11753,11753,ZCTA5 11753,11777,504
8600000US11754,11754,ZCTA5 11754,19162,655
8600000US11755,11755,ZCTA5 11755,12082,295
8600000US11756,11756,ZCTA5 11756,43478,1179
8600000US11757,11757,ZCTA5 11757,45298,712
8600000US11758,11758,ZCTA5 11758,54699,1056
8600000US11762,11762,ZCTA5 11762,22221,537
8600000US11763,11763,ZCTA5 11763,29448,1164
8600000US11764,11764,ZCTA5 11764,13420,712
8600000US11765,11765,ZCTA5 11765,536,99
8600000US11766,11766,ZCTA5 11766,11781,770
8600000US11767,11767,ZCTA5 11767,14572,733
8600000US11768,11768,ZCTA5 11768,21859,623
8600000US11769,11769,ZCTA5 11769,9022,592
8600000US11770,11770,ZCTA5 11770,238,128
8600000US11771,11771,ZCTA5 11771,9228,683
8600000US11772,11772,ZCTA5 11772,44623,1249
8600000US11776,11776,ZCTA5 11776,24059,1200
8600000US11777,11777,ZCTA5 11777,9496,415
8600000US11778,11778,ZCTA5 11778,12455,759
8600000US11779,11779,ZCTA5 11779,39237,1046
8600000US11780,11780,ZCTA5 11780,14826,603
8600000US11782,11782,ZCTA5 11782,14948,599
8600000US11783,11783,ZCTA5 11783,21115,870
8600000US11784,11784,ZCTA5 11784,25194,1300
8600000US11786,11786,ZCTA5 11786,6280,465
8600000US11787,11787,ZCTA5 11787,36425,1275
8600000US11788,11788,ZCTA5 11788,16672,762
8600000US11789,11789,ZCTA5 11789,7707,669
8600000US11790,11790,ZCTA5 11790,18210,1032
8600000US11791,11791,ZCTA5 11791,25816,653
8600000US11792,11792,ZCTA5 11792,9602,609
8600000US11793,11793,ZCTA5 11793,32178,862
8600000US11794,11794,ZCTA5 11794,2909,419
8600000US11795,11795,ZCTA5 11795,25811,779
8600000US11796,11796,ZCTA5 11796,3611,354
8600000US11797,11797,ZCTA5 11797,9001,477
8600000US11798,11798,ZCTA5 11798,15031,1043
8600000US11801,11801,ZCTA5 11801,38257,1300
8600000US11803,11803,ZCTA5 11803,28038,706
8600000US11804,11804,ZCTA5 11804,5081,218
8600000US11901,11901,ZCTA5 11901,26622,1348
8600000US11930,11930,ZCTA5 11930,1193,289
8600000US11931,11931,ZCTA5 11931,46,52
